Class,Link,bvp_mean,bvp_std,bvp_max,bvp_min,bvp_max_ratio,bvp_min_ratio,HR_mean,HR_std,HR_max,HR_min,HR_max_ratio,HR_min_ratio,ibi_mean,ibi_max,ibi_min,HRV_pNN20,HRV_pNN50,HRV_RMSSD,HRV_MeanNN,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_SDRMSSD,HRV_Prc20NN,HRV_Prc80NN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_SDANN2,HRV_SDNNI2,HRV_SDANN5,HRV_SDNNI5,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MinNN,HRV_MaxNN,HRV_HTI,HRV_TINN,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,EDA_Mean,EDA_std,EDA_Tonic_Mean,EDA_Phasic_Mean,EDA_Tonic_std,EDA_Phasic_std,EDA_Tonic_max_ratio,EDA_Tonic_min_ratio,Peaks_density,SCR_Amplitude_Mean,SCR_Height_Mean,SCR_RiseTime_Mean,SCR_RecoveryTime_Mean,SCR_Amplitude_std,SCR_Height_std,SCR_RiseTime_std,SCR_RecoveryTime_std,ACC_mean,ACC_std,ACC_max_ratio,ACC_min_ratio,ACC_max,ACC_min,x_mean,y_mean,z_mean,x_std,y_std,z_std,x_max_ratio,y_max_ratio,z_max_ratio,x_min_ratio,y_min_ratio,z_min_ratio,x_max,y_max,z_max,x_min,y_min,z_min,TEMP_mean,TEMP_std,TEMP_max,TEMP_min,TEMP_max_ratio,TEMP_min_ratio
AEROBIC,Extracted/AEROBIC/S01/rpm70,-0.0003125526155275477,0.24810152847676847,1.6920721938552359,-1.8646384142292578,181.0,-73.66666666666667,103.40249999999999,0.2526670239663256,103.92,102.77,0.001164709307968597,-0.0010604453870625607,605.6189903846154,1203.125,375.0,63.46153846153846,40.38461538461539,152.12236138627964,605.6189903846154,578.125,46.33125,0.08014054054054054,62.5,0.7699007376392174,546.875,625.0,117.1191182427163,0,0,0,0,0,0,152.86616444182025,0.19338745994133458,0.2511849261689599,375.0,1203.125,6.117647058823529,6.117647058823529,0,0.04218414772142628,0.0797457318284453,0.05809466820841903,0.1800245477582906,0.5289831412190915,0.23432441990113867,0.44297143262659744,-2.528912058141932,0.2474078078431373,0.003064638972169871,0.2475339454235348,-0.00010258203821766676,0.0021887440368434942,0.0020753680574764,0.00022955040241973284,-0.000655021652751127,0.3176470588235294,0.0012532071362430794,0.0006221659731378939,0.1264705882352941,0.0,0.001988675019267126,0.0012173724033534982,0.20516682384229745,0.0,3.6817293966076323,1.0057256902261833,0.8689440993788821,-0.03380595849822368,5.308163550805005,0.503125,2.6868166762976484,1.6329097772554988,2.1443927917581966,0.7871610744010915,0.41380490490538785,0.566675536588563,0.9082644628099175,0.9714285714285715,0.9365853658536584,-0.041065699167790265,-0.04553239692477087,-0.041142166254221874,3.988260259535756,2.268266143072106,2.9396414003335556,0.37812500000000004,0.21875,0.25625000000000003,34.393843137254905,0.0616070318589633,34.49,34.27,0.0008736167734418762,-0.0008728542333428581
AEROBIC,Extracted/AEROBIC/S01/rpm75,-0.0009810105236864163,0.5201385275550356,5.023081507449404,-4.969553567720411,461.0,-106.28571428571428,109.83328125,1.1673528476422363,111.67,108.05,0.0017354767994153975,-0.002706848326265426,623.1435643564356,1562.5,390.625,74.25742574257426,56.43564356435643,329.8910805099162,623.1435643564356,531.25,46.33125,0.08721176470588235,62.5,0.7229287295342747,515.625,625.0,238.48773971772283,0,0,0,0,0,0,331.5524157945345,0.3827171672133467,0.5293981987130334,390.625,1562.5,5.611111111111111,5.611111111111111,0,0.03382436614659386,0.09920902598182821,0.04796383964698105,0.18099723177540314,0.34094041153865734,0.1868778092063089,0.5481245486943981,-2.3105262811103993,0.2829602980392157,0.01084540140071105,0.2829815156031054,-0.0001366883494872446,0.003644193663155685,0.010087798966435309,0.0009776593682468504,-0.0005129228646417722,0.023529411764705882,0.0009000575623883537,0.00021820391414847866,0.00784313725490196,0.005928853754940711,0.009415813559410863,0.0015944058363478277,0.05366247915060396,0.09411763557146766,3.3016512816009946,0.7168282905805924,0.7323699421965316,-0.03320362658832472,3.9533100792231024,0.540625,2.479602164590717,1.5774628784842326,1.8144738206637485,0.5128878052193085,0.33284225130230777,0.4115099478946456,0.6902097902097902,0.43703703703703706,0.8775280898876404,-0.03968449125256006,-0.03337924316849954,-0.04095365730186693,2.9688561682022154,1.9211098197674854,2.2545336731852044,0.446875,0.3375,0.278125,33.756235294117644,0.06542727986401206,33.87,33.63,0.0014845605700711745,-0.0011837821840781045
AEROBIC,Extracted/AEROBIC/S01/rpm80,-0.0004242987067318458,0.20557024585473815,1.2365445159413408,-0.6369333745734388,1025.0,-423.0,115.19859375,0.53170970459541,115.75,113.75,0.0020973520929825646,-0.0006062180652982868,556.9196428571429,1093.75,437.5,75.89285714285714,46.42857142857143,181.28543067805015,556.9196428571429,531.25,46.33125,0.08721176470588235,50.78125,0.7784970833954309,484.375,562.5,141.1301790449466,0,0,0,0,0,0,182.03642772291593,0.25341210505866163,0.32551452081669924,437.5,1093.75,5.894736842105263,5.894736842105263,0,0.03595999040218139,0.09223999310855706,0.08526272903143714,0.21346271254217558,0.38985248361695074,0.16846028973362961,0.4321129063247168,-2.3833614777334238,0.3188644352941176,0.003258720865785727,0.31895195622084144,-8.763085886057044e-05,0.002476914424051561,0.0019452523642382769,0.00020463300596670298,-0.00028465878295014886,0.34509803921568627,0.0013253315943456327,0.0006296878078052283,0.1284313725490196,0.0,0.0019817648383986756,0.001140741259357696,0.19282596592111298,0.0,3.790390883556108,0.971750600150704,0.5900584795321638,-0.021283867244697587,4.497102051502702,0.534375,2.8388347200867234,1.6841336048520619,2.226047430020528,0.6866042918337499,0.40663967829752884,0.6445762697482122,0.5418918918918918,0.5626506024096385,0.5116504854368933,-0.03985981584760501,-0.029364175987369224,-0.03430332541998602,3.37475943673979,2.057131456835522,2.8054499609689683,0.4625,0.259375,0.321875,32.94035294117647,0.05832526225264385,33.05,32.83,0.0012139605462822198,-0.001520218911523173
AEROBIC,Extracted/AEROBIC/S01/rpm85,-0.0007841447636544702,0.4906045240508953,4.154848503404809,-6.6398217200713585,374.3333333333333,-317.0,112.6846875,3.1832510743489504,117.62,107.0,0.0027718747112630247,-0.004851258581235709,641.1033163265306,1546.875,375.0,85.71428571428571,73.46938775510205,343.66944932519755,641.1033163265306,515.625,92.6625,0.1797090909090909,234.375,0.7293873354261274,468.75,968.75,250.66814391067038,0,0,0,0,0,0,345.4541500289185,0.39099492628891436,0.5360593847718575,375.0,1546.875,9.8,9.8,0,0.05388443426029655,0.10387595784491988,0.06020978808891471,0.2179701801941311,0.5187382660840784,0.24721011934891907,0.4765604072649051,-2.2645578047186437,0.34778996470588236,0.0043375900260453895,0.3477965005716139,-8.372637744415113e-05,0.003926278502406066,0.0019619521560016516,0.00030803812607738015,5.2720198097677405e-05,0.3411764705882353,0.0012707376411378412,0.0006224636632948689,0.12007874015748031,0.0,0.00193187309401227,0.0011006654579253513,0.18387344185304533,0.0,4.270840964109166,1.0918574914499428,0.6580645161290323,-0.021617060129660876,5.1828880196636895,0.58125,3.20247417751843,1.9169716499483436,2.5569346619264985,0.8050620794959367,0.5007260416722936,0.6455594594939141,0.6323943661971829,0.5323185011709599,0.746938775510204,-0.025017385786828033,-0.058574067665793296,-0.030812441914187045,4.006333640505435,2.4712942900482693,3.1044591177589633,0.44375000000000003,0.278125,0.30625,32.23454901960785,0.08585722615687344,32.37,32.07,0.0009322560596644232,-0.0015513496742164804
AEROBIC,Extracted/AEROBIC/S02/rpm70,-0.0005609579663419781,0.3433082936512754,0.8234463241979509,-1.2265264428177494,228.2857142857143,-136.66666666666666,114.44109375,1.136611077374727,115.97,112.17,0.0019100538287897104,-0.0008685833405714785,536.3247863247864,1078.125,343.75,64.1025641025641,38.46153846153847,107.9903892245541,536.3247863247864,531.25,46.33125,0.08721176470588235,78.125,0.7075096853189292,484.375,578.125,76.40424629773295,0,0,0,0,0,0,108.45881199649376,0.1424589134156933,0.20135259823542356,343.75,1078.125,6.882352941176471,6.882352941176471,0,0.05749433370582879,0.087342305876045,0.14234715893045885,0.28718379851233267,0.658264435878576,0.20020047789485515,0.3041338206698809,-2.4379203301277603,12.88486874509804,0.8777965399379498,12.871351564494729,0.016164876163913593,0.7434142823100188,0.359770398461518,0.0034829210534567255,-0.003534397227983286,0.043137254901960784,0.016105469409556136,0.01856880099895262,0.03725490196078431,0.019762845849802372,0.09307408133402693,0.09614793985901463,0.20432652099483595,0.19018594781437276,2.955089975263123,0.7017886926196254,0.6718120805369128,-0.03401700544253587,3.615243614055909,0.465625,2.4657708016937305,1.2257331092888257,1.5092935271733885,0.5746460854453745,0.2886046430778512,0.3641894587218911,0.7139534883720929,0.27822878228782305,0.49493670886075947,-0.0367386741928734,-0.048914276893711764,-0.043969822954782106,2.9900401688566713,1.5245137885872988,1.8992758192580619,0.403125,0.26875,0.246875,32.2061568627451,0.015672346757991364,32.23,32.16,0.0009322560596644232,-0.0015523129462901044
AEROBIC,Extracted/AEROBIC/S02/rpm75,0.0004962348254428402,0.4685437936943766,1.1232027866803156,-1.172212771863376,363.0,-570.0,119.45750000000001,0.3241238189334439,119.9,118.87,0.0008370302167907786,-0.0007549068948163346,502.0,625.0,406.25,64.8,28.799999999999997,54.48912754083415,502.0,500.0,23.165625,0.04633125,31.25,0.6705000311537564,468.75,531.25,36.534961713670306,0,0,0,0,0,0,54.707838983187166,0.07277880819456237,0.10854407876660188,406.25,625.0,4.8076923076923075,4.8076923076923075,0,0.05823671798653262,0.03007435491401737,0.18700667250633873,0.2753177454068887,1.93642451028564,0.2115254790440961,0.10923507625551289,-3.5040824665944132,20.66049631764706,1.7474863396879994,20.660797107023324,-0.005569472700021483,1.7208665179945046,0.20525962014750737,0.00203776166060798,0.00011909783372299413,0.09803921568627451,0.023842247508559733,0.00859127211479293,0.049019607843137254,0.02610441767068273,0.12528301339938838,0.06665733129166726,0.1800027766883958,0.19742642659033052,3.2993788891851112,0.7554878589930091,0.6828947368421052,-0.035211701041948755,4.136076214746554,0.47500000000000003,2.7234717651147347,1.4969599429300793,1.6962008673302327,0.6156081104685527,0.36859917774096984,0.41058979666528184,0.7153846153846157,0.5,0.5097560975609755,-0.041537892915167636,-0.04674187241836037,-0.03608074215071843,3.403780994155099,1.9257283875271236,2.1184182571672974,0.40625,0.25,0.25625000000000003,32.046535433070865,0.03158236208536729,32.09,31.99,0.0015624999999999112,-0.0009366219169528922
AEROBIC,Extracted/AEROBIC/S02/rpm80,0.0009461994958570899,0.5493991317865,1.3620650791957518,-1.1653376236413033,143.22222222222226,-236.85714285714283,124.21968749999999,0.48527688214435966,125.4,123.27,0.0012012492992711738,-0.0012075350185155828,475.97064393939394,609.375,343.75,69.6969696969697,28.78787878787879,64.64012421396595,475.97064393939394,468.75,23.165625,0.04942,46.875,0.6013702039836548,453.125,500.0,38.872644684081486,0,0,0,0,0,0,64.88826379898104,0.08167025672497398,0.13580695582183147,343.75,609.375,4.0,4.0,0,0.006848352040305593,0.013422828308411398,0.19584624895698186,0.21611742930569885,0.5102018652815579,0.03168810614815604,0.06210895785468909,-4.310798416409115,24.777119780392155,0.3759041021563967,24.76970943375434,0.0019978449550158628,0.33954492432961003,0.14704324858636908,0.0007460337170841501,-0.00040791736894919985,0.058823529411764705,0.01289140889399488,0.009338011695687319,0.047058823529411764,0.019762845849802372,0.07000967835665237,0.04979252721911446,0.2163448057411246,0.12809312587429883,4.102074794562043,1.0398503054768966,0.6802197802197802,-0.036268187031002874,5.077600203524953,0.56875,3.382163047384068,1.9887071766525044,2.0630462299387498,0.8640033742911661,0.5038420082837257,0.516301776468603,0.6911392405063289,0.42664974619289353,0.8101123595505617,-0.041007781465534666,-0.05105146211675896,-0.03590568569042463,4.20982928934914,2.4550389798685344,2.632101326241632,0.49375,0.35625,0.278125,32.236078431372555,0.03566062426584305,32.29,32.18,0.0009322560596644232,-0.0009313877677740185
AEROBIC,Extracted/AEROBIC/S02/rpm85,-0.0008907842605377259,0.61444780780543,1.8442094023693851,-2.132179896471054,379.0,-131.08333333333334,133.15301587301587,0.5667804785445217,134.08,132.22,0.000900698040981795,-0.0008994153800028192,466.31944444444446,953.125,375.0,56.2962962962963,25.925925925925924,100.7203532174049,466.31944444444446,453.125,23.165625,0.05112413793103448,31.25,0.7354593008058041,437.5,468.75,74.07572055418623,0,0,0,0,0,0,101.09802108012259,0.15885188026512015,0.21599003519443494,375.0,953.125,4.21875,4.21875,0,0.014784705576684508,0.07070797113557634,0.06753968978841711,0.15303236650067797,0.20909531611840668,0.09661162481349335,0.4620458583528673,-2.649196966528639,26.504517239215687,0.39031227727195217,26.50154542885438,-0.002818814341410367,0.3228711081837205,0.14852852420854898,0.0007471613377289828,-0.00028531132488422023,0.09803921568627451,0.021395712281877585,0.010420443732986114,0.06862745098039216,0.012096774193548387,0.12624832906375508,0.057611077528878604,0.24891150965473766,0.08312712954874314,4.039031296597311,0.9424708278227645,0.6511520737327189,-0.026711530081698912,5.073074401536991,0.6781250000000001,3.2891661315864633,1.9311184059259459,2.0817236303306696,0.788975369849709,0.42573737952163654,0.4660157491996866,0.6173913043478262,0.5380952380952383,0.5742424242424242,-0.027635770255982267,-0.03249159076776377,-0.033256856972126714,4.23538538680049,2.3088852304324354,2.5507544850610735,0.5750000000000001,0.328125,0.41250000000000003,32.51211764705884,0.032878652147140294,32.59,32.45,0.001232665639445274,-0.0012296341838302842
AEROBIC,Extracted/AEROBIC/S03/rpm70,-0.0008839710524499191,1.229996111445402,3.200872579390651,-3.5572999065035287,805.3333333333334,-2833.5,117.70075757575758,1.176998378781691,118.77,114.73,0.0017379214459506678,-0.00016856300042149372,517.0,1046.875,390.625,84.8,56.00000000000001,130.50202094127917,517.0,515.625,46.33125,0.08985454545454545,46.875,0.694656067434181,468.75,546.875,90.65402065928212,0,0,0,0,0,0,131.03046577514326,0.175346268199772,0.2524217039483156,390.625,1046.875,6.25,6.25,0,0.05139554412117115,0.12309594066961986,0.0943052228531586,0.2687967076439496,0.41752428099244054,0.19120600312281402,0.4579518170016941,-2.094791222211807,5.490666522900764,1.1064959921687167,5.481810589907733,0.004533241375568389,1.0992416697026526,0.10086739608945818,0.004273967925246145,0.0003288376705628773,0.07251908396946564,0.013638120809027494,0.008293455028080291,0.08015267175572519,0.03861003861003861,0.05623116988744938,0.03219840451557798,0.3139066441977418,0.21402467665161565,2.0368039698812117,0.4799388681565861,0.4630252100840336,-0.03520756080368493,2.4929027363896945,0.371875,1.3702774785870222,1.036099393754054,1.3427659211514191,0.3052122736981164,0.23456805413381354,0.3423466218256743,0.3607843137254903,0.31558441558441563,0.6500000000000002,-0.03365299702137412,-0.04528049591446795,-0.04167678633099121,1.6956304723552118,1.2706615451589547,1.6982027018605654,0.31875000000000003,0.240625,0.17500000000000002,34.2312213740458,0.01707741246303469,34.27,34.21,0.00116924875767317,-0.0005842827928716338
AEROBIC,Extracted/AEROBIC/S03/rpm75,0.0068592199716177105,1.2757048987423678,3.6676951436693797,-3.381983626840677,217.67857142857144,-419.37499999999994,128.3366153846154,1.1637846442640716,130.6,126.23,0.0009213051823416856,7.780890133824234e-05,491.8323863636364,953.125,359.375,84.0909090909091,60.60606060606061,168.71222541585715,491.8323863636364,468.75,46.33125,0.09884,66.40625,0.7597090550807956,421.875,500.0,128.172205351259,0,0,0,0,0,0,169.35983317177087,0.26060139369613383,0.34302788936538176,359.375,953.125,6.285714285714286,6.285714285714286,0,0.009533966750812691,0.07210107029688533,0.04993448214127644,0.13156951918897447,0.13223058564256218,0.07246333960618166,0.5480074012684193,-2.6296863901844194,14.785030641221375,0.6442298618197239,14.786172485308443,-0.0011777970143025689,0.6298061552077102,0.09373912695123679,0.0010316341077300868,-3.6105046037906717e-05,0.0916030534351145,0.014396157683930896,0.008136980000774082,0.08206106870229007,0.0146484375,0.05310259957529653,0.03530684277972341,0.2846967519052909,0.10140744624438874,2.3669794365298378,0.5397882100330847,0.4744680851063828,-0.02649378149115379,2.8058850554960637,0.44062500000000004,1.5428336755672132,1.2984132899741612,1.5723056173901389,0.3480102958253479,0.31636512236055286,0.35912968753137675,0.4453257790368272,0.3861111111111111,0.5666666666666669,-0.03162365988988199,-0.036123103052517876,-0.03310767711702087,1.8611030387312881,1.6033025401894876,1.8712729660086214,0.30625,0.225,0.253125,34.24198473282442,0.05996716464546022,34.37,34.16,0.0020479812755997743,-0.0011678832116788073
